Date,Week ,Site #,Camera #,Start Time,End Time,Weather,Conditions,Wind,Wind direction,Activity on site,Activity around ,Video Duration,Shift type,Notes
7/7/2025,4a,2,2,4:00:00 AM,4:30:00 AM,68,sunny,4.2,SW,na,2,22min ,Afternoon,died
7/9/2025,4b,1,1,10:00,10:30:00 AM,70,sunny,3,SSE,na,na,30min,Morning,
7/9/2025,4b,2,2,10:00,10:30:00 AM,70,sunny,3,SSE,na,na,30min,Morning,
7/9/2025,4b,3,1,10:30:00 AM,11:00:00 AM,70,sunny,5.2,SSE,na,na,30min,Morning,
7/9/2025,4b,4,2,10:30:00 AM,11:00:00 AM,70,sunny,5.2,SSE,na,na,30min,Morning,
7/9/2025,4b,3,1,11:00:00 AM,11:30:00 AM,72,sunny,2.8,SSW,na,1,30min,Mid,
7/9/2025,4b,4,2,11:00:00 AM,11:30:00 AM,72,sunny,2.8,SSW,1,na,30min,Mid,
7/9/2025,4b,2,1,11:30:00 AM,12:00:00 PM,73,sunny,3,SSW,na,na,30min,Mid,
7/9/2025,4b,1,2,11:30:00 AM,12:00:00 PM,73,sunny,3,SSW,1,na,30min,Mid,
7/9/2025,4b,,,,,,,,,,,,Afternoon,
7/9/2025,4b,,,,,,,,,,,,Afternoon,
7/9/2025,4b,,,,,,,,,,,,Afternoon,
7/9/2025,4b,,,,,,,,,,,,Afternoon,
